timestamp,app_version,model_version,latency_ms,prediction,probability,feedback_score,feedback_comment
2026-01-11T16:55:13,v1_ui,v1,87.56,1,0.8124,2,Not intuitive. I would prefer to see the model output first before rating it.
2026-01-11T16:55:13,v1_ui,v2,279.96,1,0.5903,2,Not intuitive. I would prefer to see the model output first before rating it.
2026-01-11T16:56:17,v1_ui,v1,30.04,1,0.7545,3,"The workflow should be the result of prediction first, then feedback. Current layout is unclear."
2026-01-11T16:56:17,v1_ui,v2,195.6,1,0.6047,3,"The workflow should be the result of prediction first, then feedback. Current layout is unclear."
2026-01-11T16:57:11,v1_ui,v1,26.45,1,0.7221,2,Confusing UI. I am asked to give feedback before seeing any prediction result.
2026-01-11T16:57:11,v1_ui,v2,248.03,1,0.5729,2,Confusing UI. I am asked to give feedback before seeing any prediction result.
2026-01-11T16:58:37,v2_ui,v1,42.25,0,0.2125,5,Improved UI. Prediction first then feedback is much clearer.
2026-01-11T16:58:37,v2_ui,v2,244.73,0,0.3584,5,Improved UI. Prediction first then feedback is much clearer.
2026-01-11T16:59:15,v2_ui,v1,25.78,0,0.4608,4,Much more intuitive than the previous version.
2026-01-11T16:59:15,v2_ui,v2,204.81,0,0.3377,4,Much more intuitive than the previous version.
2026-01-11T18:22:17,v1_ui,v1,42.4,0,0.1082,4,Require improvent to provide the prediction before the feedback
2026-01-11T18:22:17,v1_ui,v2,231.19,0,0.3174,4,Require improvent to provide the prediction before the feedback
2026-01-11T18:22:45,v1_ui,v1,25.03,0,0.1082,4,Require improvement to provide the prediction before the feedback
2026-01-11T18:22:45,v1_ui,v2,221.86,0,0.3174,4,Require improvement to provide the prediction before the feedback
